,id,age,detailed industry recode,detailed occupation recode,education,wage per hour,marital stat,race,hispanic origin,sex,full or part time employment stat,capital gains,capital losses,dividends from stocks,tax filer stat,detailed household and family stat,detailed household summary in household,num persons worked for employer,citizenship,own business or self employed,veterans benefits,weeks worked in year,year,y
19,19,31,3,35,10,0,0,3,5,1,5,0,0,0,3,1,4,6,4,0,2,52,95, 50000+.
20,20,28,47,28,7,0,1,3,5,1,5,0,0,0,2,3,4,4,4,0,2,52,95,-50000
21,21,39,24,2,0,0,1,3,5,0,0,0,2415,1000,2,3,4,6,4,0,2,52,94, 50000+.
22,22,2,0,0,3,0,0,3,1,1,0,0,0,0,5,22,0,0,4,0,0,0,94,-50000
23,23,67,0,0,0,0,1,3,5,0,4,0,0,304,0,32,7,0,4,0,2,0,95,-50000
24,24,15,33,29,15,0,0,3,5,0,0,0,0,0,3,22,0,3,4,0,2,8,94,-50000
25,25,59,45,12,0,0,1,3,5,1,5,0,0,1200,2,3,4,1,4,0,2,52,95,-50000
26,26,25,33,29,10,0,0,3,5,0,5,0,0,0,3,16,3,2,4,0,2,52,95,-50000
27,27,41,49,3,10,0,1,3,5,0,5,0,0,0,2,32,7,6,4,0,2,52,95, 50000+.
28,28,25,7,38,10,0,1,3,5,1,0,0,0,0,2,3,4,4,4,0,2,45,94,-50000
29,29,46,43,10,4,0,5,3,5,0,5,0,0,0,1,3,4,4,4,0,2,52,95, 50000+.
30,30,23,41,30,10,0,0,3,7,0,0,0,0,0,5,3,4,0,4,0,2,0,94,-50000
31,31,23,12,4,1,0,0,3,5,0,0,0,0,0,3,1,4,6,4,0,2,52,94,-50000
32,32,82,0,0,10,0,4,3,5,0,0,0,0,0,5,1,4,0,3,0,2,0,94,-50000
33,33,4,0,0,3,0,0,3,1,1,0,0,0,0,5,22,0,0,4,0,0,0,94,-50000
34,34,28,22,36,15,0,1,3,4,1,5,0,0,0,2,32,7,4,1,0,2,52,95,-50000
35,35,25,4,23,1,0,0,3,5,0,5,0,0,0,3,16,3,3,4,2,2,51,95,-50000
36,36,28,32,16,0,0,0,3,4,0,0,0,0,32,3,14,6,2,4,0,2,52,94, 50000+.
37,37,2,0,0,3,0,0,3,5,1,0,0,0,0,5,22,0,0,4,0,0,0,94,-50000
38,38,37,42,8,16,0,1,3,5,0,5,0,0,0,2,32,7,5,4,0,2,52,95,-50000
39,39,28,11,35,10,0,1,3,5,1,0,0,0,0,2,3,4,3,1,0,2,52,94, 50000+.
40,40,33,3,39,10,430,1,3,5,1,5,0,0,0,2,3,4,3,4,0,2,48,95,-50000
41,41,17,33,29,6,0,0,1,5,0,0,0,0,0,5,18,5,6,4,0,2,12,94,-50000
42,42,32,43,34,10,0,1,3,5,1,5,0,0,0,2,3,4,5,4,0,2,52,95,-50000
43,43,35,22,37,10,0,1,3,5,0,5,0,0,0,2,32,7,4,4,0,2,52,95,-50000
44,44,0,0,0,3,0,0,0,5,0,0,0,0,0,5,22,0,0,4,0,0,0,94,-50000
45,45,39,13,26,10,0,6,3,5,1,0,0,0,0,3,16,3,6,4,2,2,52,94, 50000+.
46,46,22,33,42,2,0,1,3,5,0,7,0,0,0,2,32,7,0,4,0,2,0,95,-50000
47,47,29,25,2,0,0,0,3,5,1,5,0,0,0,3,16,3,1,4,0,2,52,95,-50000
48,48,9,0,0,3,0,0,3,5,0,0,0,0,0,5,22,0,0,4,0,0,0,94,-50000
49,49,22,2,43,6,0,1,3,5,0,5,0,0,0,2,32,7,1,4,2,2,43,95,-50000
50,50,39,29,5,7,0,1,3,5,1,1,7298,0,0,2,3,4,6,0,0,2,42,95,-50000
51,51,59,11,37,15,0,6,3,5,1,0,0,0,0,3,1,4,3,4,0,2,52,94,-50000
52,52,34,33,24,10,0,1,3,5,0,0,0,0,0,2,32,7,5,4,0,2,52,94,-50000
53,53,40,41,2,0,0,1,3,5,1,5,15024,0,0,2,3,4,5,4,0,2,52,95, 50000+.
54,54,26,12,12,1,0,0,3,5,1,5,0,0,0,3,14,6,4,4,2,2,52,95,-50000
55,55,35,33,16,1,0,1,3,5,1,5,99999,0,0,2,3,4,5,4,0,2,45,95, 50000+.
56,56,17,0,0,10,0,1,3,1,0,0,0,0,0,5,32,7,0,1,0,2,0,94,-50000
57,57,20,35,26,7,0,1,3,5,0,5,0,0,0,2,3,4,3,4,0,2,52,95,-50000
58,58,30,41,13,1,0,0,3,5,0,0,0,0,0,3,16,3,3,4,0,2,48,94,-50000
59,59,24,4,37,10,0,0,3,5,1,0,0,0,0,3,14,6,3,4,0,2,52,94,-50000
60,60,80,0,0,1,0,4,3,5,0,0,1848,0,702,3,1,4,0,4,0,2,0,94,-50000
61,61,59,33,26,10,0,1,3,5,1,5,0,0,0,4,32,7,2,4,0,2,52,95,-50000
62,62,12,0,0,3,0,0,3,5,0,0,0,0,0,5,22,0,0,4,0,0,0,94,-50000
63,63,59,0,0,10,0,5,3,5,0,0,0,0,0,3,1,4,0,1,0,2,0,94,-50000
64,64,37,31,22,12,0,1,3,5,0,0,0,0,0,2,32,7,6,4,0,2,52,94, 50000+.
65,65,22,32,26,12,0,0,3,5,0,0,0,0,0,3,16,3,2,4,0,2,43,94,-50000
66,66,1,0,0,3,0,0,3,0,0,0,0,0,0,5,9,5,0,4,0,0,0,95,-50000
67,67,19,0,0,7,0,0,3,5,0,0,0,0,150,3,14,6,3,4,2,2,15,94,-50000
68,68,61,43,2,0,0,1,3,5,1,0,0,0,0,2,3,4,6,4,0,2,52,94, 50000+.
69,69,36,33,42,7,0,5,3,5,1,0,0,0,0,3,16,3,6,4,0,2,26,94,-50000
70,70,9,0,0,3,0,0,3,0,0,0,0,0,0,5,22,0,0,4,0,0,0,94,-50000
71,71,40,0,0,2,0,0,1,5,0,4,0,0,0,5,16,3,0,4,0,2,0,95,-50000
72,72,18,33,29,7,0,0,3,5,0,5,0,0,0,3,16,3,3,4,0,2,52,95,-50000
73,73,43,45,11,4,0,1,3,5,1,0,15024,0,5537,2,3,4,3,4,0,2,52,94, 50000+.
74,74,18,42,29,5,0,0,3,5,1,0,0,0,0,3,14,6,5,4,0,2,20,94,-50000
75,75,52,32,26,16,0,5,3,5,0,5,1151,0,500,1,3,4,3,4,0,2,50,95,-50000
76,76,56,29,2,16,0,1,4,5,1,5,0,0,0,2,3,4,6,4,0,2,52,95,-50000
77,77,37,4,40,10,0,5,3,5,1,5,0,0,0,3,16,3,1,4,0,2,52,95, 50000+.
78,78,31,16,36,7,0,1,3,4,1,0,0,0,0,2,3,4,3,1,0,2,52,94,-50000
79,79,32,35,31,10,0,1,0,6,1,1,0,0,0,2,3,4,6,3,0,2,52,95,-50000
80,80,51,44,31,8,0,6,0,4,0,5,0,0,0,1,3,4,6,1,0,2,52,95,-50000
81,81,45,2,24,1,0,1,3,5,0,0,0,0,0,2,32,7,1,4,0,2,52,94, 50000+.
82,82,53,0,0,12,0,1,3,5,0,4,0,0,0,2,32,7,6,4,0,2,3,95,-50000
83,83,33,45,2,1,0,0,3,5,0,2,0,0,400,3,1,4,6,4,0,2,52,95,-50000
84,84,34,39,29,7,0,0,3,5,1,5,0,0,0,3,1,4,5,4,2,2,35,95,-50000
85,85,69,0,0,7,0,1,1,5,0,4,0,0,0,0,3,4,0,4,0,2,0,95,-50000
86,86,20,43,14,7,0,0,3,5,1,5,0,0,40,3,1,4,6,4,2,2,45,95,-50000
87,87,33,15,37,7,0,6,3,5,1,0,0,0,0,3,16,3,3,4,0,2,52,94,-50000
88,88,24,37,3,1,0,0,3,5,1,5,0,0,0,3,1,4,3,4,0,2,52,95,-50000
89,89,32,40,44,1,0,1,3,5,0,0,0,0,0,2,32,7,4,4,0,2,52,94,-50000
90,90,20,0,0,7,0,0,3,5,0,0,0,0,0,5,3,4,0,4,0,2,0,94,-50000
91,91,37,45,11,4,0,1,3,5,1,5,0,0,600,2,32,7,1,4,0,2,52,95, 50000+.
92,92,21,0,0,7,0,0,3,5,1,0,0,0,0,3,14,6,5,4,2,2,10,94,-50000
93,93,54,33,2,10,0,0,3,5,1,5,0,0,0,3,1,4,1,4,1,2,49,95, 50000+.
94,94,50,0,0,15,0,6,3,1,0,0,0,0,0,3,19,6,2,4,0,2,26,94,-50000
95,95,18,45,14,5,0,0,3,5,1,2,0,0,396,3,1,4,2,4,0,2,18,95,-50000
96,96,30,35,2,1,0,0,3,5,1,0,8614,0,0,3,16,3,6,4,0,2,52,94,-50000
97,97,34,41,29,10,0,1,1,5,1,2,0,0,0,2,3,4,1,4,0,2,52,95,-50000
98,98,77,0,0,15,0,4,3,5,1,0,0,0,0,3,1,4,0,4,0,2,0,94,-50000
99,99,73,32,2,7,0,1,3,5,1,0,0,0,0,0,32,7,1,3,0,2,52,94, 50000+.
100,100,47,0,0,2,0,0,1,5,1,0,0,0,0,5,1,4,0,4,0,2,0,94,-50000
101,101,42,41,7,4,0,1,4,5,1,0,0,0,0,2,3,4,4,1,2,2,50,94, 50000+.
102,102,71,0,0,1,0,4,3,5,0,0,0,0,331,5,1,4,0,4,0,2,0,94,-50000
103,103,48,43,10,1,0,1,3,5,0,2,0,2415,0,2,3,4,5,4,2,2,52,95,-50000
104,104,61,44,35,10,598,1,1,5,1,0,0,0,0,2,3,4,2,4,0,2,52,94,-50000
105,105,18,42,12,5,0,1,0,1,0,5,0,0,0,2,32,7,0,4,0,2,0,95,-50000
106,106,62,0,0,10,0,1,3,5,1,4,0,0,0,2,32,7,0,4,0,2,0,95,-50000
107,107,39,43,38,7,445,1,3,5,0,5,0,0,0,2,32,7,6,4,0,2,52,95,-50000
108,108,43,33,19,1,0,1,3,5,1,0,0,0,0,2,3,4,1,4,0,2,52,94, 50000+.
109,109,22,37,31,10,0,0,1,5,1,0,0,0,0,5,14,6,0,4,0,2,0,94,-50000
110,110,40,35,2,10,0,1,0,0,0,0,0,0,0,2,32,7,1,4,0,2,52,94, 50000+.
111,111,18,0,0,10,0,0,3,5,0,0,0,0,0,5,16,3,0,1,0,2,0,94,-50000
112,112,23,33,19,1,0,0,3,5,1,0,0,0,0,3,14,6,6,4,2,2,52,94,-50000
113,113,54,0,0,7,0,1,4,5,0,0,0,0,0,5,32,7,0,0,0,2,0,94,-50000
114,114,61,2,43,10,0,1,3,5,1,2,0,1887,0,2,3,4,1,4,0,2,36,95, 50000+.
115,115,53,35,4,1,0,1,3,5,1,5,0,0,6,2,3,4,2,4,0,2,52,95, 50000+.
116,116,52,33,16,1,0,1,3,5,1,5,0,0,0,2,32,7,3,4,0,2,52,95, 50000+.
117,117,54,45,26,10,0,5,3,5,0,0,0,0,0,1,3,4,5,4,0,2,52,94,-50000
118,118,65,33,41,10,0,1,3,5,1,0,0,0,0,4,3,4,3,4,0,2,52,94,-50000
119,119,32,0,0,10,0,1,3,5,0,0,0,0,70,2,32,7,0,4,0,2,0,94,-50000
120,120,69,0,0,7,0,1,3,4,0,4,0,0,0,0,32,7,0,4,0,2,0,95,-50000
121,121,57,43,2,0,0,1,3,5,1,0,7298,0,0,2,3,4,6,4,0,2,50,94, 50000+.
122,122,50,31,42,10,0,1,3,5,1,0,0,0,0,2,3,4,4,4,0,2,30,94,-50000
123,123,32,13,14,7,0,1,3,5,1,0,0,0,0,2,3,4,6,4,0,2,52,94,-50000
124,124,23,32,26,1,0,0,3,5,0,5,0,0,0,3,16,3,1,4,2,2,46,95,-50000
125,125,49,19,33,6,445,1,3,5,1,5,0,0,0,2,3,4,5,4,0,2,52,95,-50000
126,126,30,0,0,10,0,0,3,3,0,4,0,0,0,5,26,5,0,4,0,2,0,95,-50000
127,127,19,0,0,14,0,0,3,3,1,4,0,0,0,5,14,6,0,1,0,2,0,95,-50000
128,128,16,0,0,6,0,0,3,5,1,0,0,0,0,5,22,0,0,4,0,2,0,94,-50000
129,129,12,0,0,3,0,0,3,5,1,0,0,0,0,5,22,0,0,4,0,0,0,94,-50000
130,130,52,41,28,10,147,1,3,5,1,0,0,0,0,2,3,4,6,4,0,2,52,94,-50000
131,131,23,34,26,10,0,5,3,5,0,0,0,0,0,3,1,4,4,4,2,2,35,94,-50000
132,132,30,31,40,10,0,1,3,5,1,5,0,0,0,2,3,4,6,4,0,2,52,95, 50000+.
133,133,42,33,19,7,0,5,3,5,0,5,0,0,0,1,3,4,6,4,0,2,52,95,-50000
134,134,55,0,0,10,0,1,1,5,1,4,0,0,0,2,3,4,0,4,0,1,0,95,-50000
135,135,30,31,2,10,0,1,3,5,1,0,0,0,0,2,3,4,3,4,0,2,52,94,-50000
136,136,75,0,0,7,0,4,3,5,0,4,0,0,1,5,3,4,0,4,0,2,0,95,-50000
137,137,72,45,12,10,0,4,3,5,0,5,0,0,0,3,1,4,4,4,0,2,52,95,-50000
138,138,53,12,2,7,0,1,3,5,1,0,0,0,60,2,3,4,5,4,0,1,52,94, 50000+.
139,139,22,11,35,10,0,0,3,5,1,5,0,0,0,3,5,5,2,4,0,2,12,95,-50000
140,140,23,33,29,5,0,1,0,0,0,5,0,0,0,2,32,7,1,4,0,2,52,95,-50000
141,141,35,31,38,10,0,0,3,5,1,5,0,0,0,3,14,6,4,4,0,2,52,95,-50000
142,142,55,11,36,10,0,1,2,5,1,0,0,0,48,2,3,4,6,4,0,2,52,94, 50000+.
143,143,3,0,0,3,0,0,0,0,0,0,0,0,0,5,22,0,0,4,0,0,0,94,-50000
144,144,80,0,0,9,0,1,3,5,1,0,0,0,0,5,3,4,0,3,0,2,0,94,-50000
145,145,49,45,12,1,0,1,3,5,0,0,0,0,1000,2,3,4,3,4,0,2,52,94, 50000+.
146,146,63,0,0,9,0,1,3,5,1,4,0,0,0,5,3,4,0,3,0,2,0,95,-50000
147,147,57,0,0,15,0,0,1,5,0,0,0,0,0,5,5,5,0,1,0,2,0,94,-50000
148,148,64,0,0,15,0,1,3,5,1,0,0,0,3575,2,3,4,0,4,0,2,0,94,-50000
149,149,49,43,9,11,0,1,3,5,0,5,0,1977,700,2,3,4,6,4,0,2,52,95, 50000+.
150,150,23,11,26,7,0,5,3,5,1,0,0,0,0,3,16,3,6,4,0,2,39,94,-50000
151,151,87,0,0,7,0,0,3,5,0,0,0,0,0,5,16,3,0,4,0,2,0,94,-50000
152,152,38,33,16,16,0,0,3,5,0,5,0,0,0,1,3,4,6,4,2,2,52,95,-50000
153,153,51,0,0,1,0,1,3,5,0,0,0,0,22500,2,32,7,0,4,0,2,0,94,-50000
154,154,42,33,37,1,0,1,3,5,0,0,0,0,45,2,32,7,1,4,0,2,52,94,-50000
155,155,36,45,3,1,0,1,3,5,1,5,0,0,0,2,3,4,1,4,0,2,52,95, 50000+.
156,156,42,3,34,9,0,1,3,5,1,5,0,0,0,2,3,4,4,4,0,2,52,95,-50000
157,157,66,0,0,1,0,4,3,5,0,4,0,0,0,3,1,4,0,4,0,1,0,95, 50000+.
158,158,72,0,0,1,0,0,3,5,0,0,2346,0,8000,3,1,4,0,4,0,2,0,94,-50000
159,159,68,0,0,10,0,1,3,5,1,0,0,0,0,5,32,7,0,4,0,2,0,94,-50000
160,160,37,1,44,10,0,1,3,1,1,0,0,0,0,5,3,4,0,1,0,2,0,94,-50000
161,161,19,34,23,7,0,0,3,5,0,0,0,2001,0,3,14,6,4,4,0,2,52,94,-50000
162,162,23,33,29,16,39,0,3,5,0,0,0,0,0,3,14,6,6,4,0,2,52,94,-50000
163,163,24,44,32,7,0,1,3,5,0,0,0,0,0,2,32,7,1,4,0,2,52,94,-50000
164,164,60,2,43,9,0,1,3,5,1,0,0,0,0,2,3,4,1,4,0,2,40,94,-50000
165,165,50,42,12,0,0,1,3,5,0,5,0,0,0,2,32,7,1,4,0,2,52,95, 50000+.
166,166,29,33,29,7,0,1,3,1,1,5,0,0,0,2,3,4,3,1,0,2,52,95,-50000
167,167,22,0,0,6,0,1,0,0,0,0,0,0,0,2,32,7,0,4,0,2,0,94,-50000
168,168,13,0,0,3,0,0,3,5,1,0,0,0,0,5,22,0,0,4,0,0,0,94,-50000
169,169,21,33,26,5,103,0,3,5,1,5,0,0,0,3,14,6,6,4,0,2,18,95,-50000
170,170,70,0,0,13,0,0,2,5,1,0,0,0,0,5,1,4,0,4,0,2,0,94,-50000
171,171,32,39,31,10,209,1,3,4,0,5,0,0,0,2,32,7,3,4,0,2,52,95,-50000
172,172,31,42,30,10,0,5,3,5,0,5,0,0,0,1,6,3,4,4,0,2,52,95,-50000
173,173,24,47,28,12,0,1,3,5,1,5,0,0,0,2,10,6,1,4,2,2,32,95,-50000
174,174,39,32,44,8,0,1,3,1,0,1,0,0,0,2,32,7,5,1,0,2,30,95,-50000
175,175,32,4,35,7,0,1,3,5,1,0,0,0,0,2,32,7,1,4,0,2,52,94, 50000+.
176,176,13,0,0,3,0,0,4,5,0,0,0,0,0,5,22,0,0,4,0,0,0,95,-50000
177,177,31,33,16,10,122,0,3,5,0,5,0,0,0,3,1,4,6,4,0,2,52,95,-50000
178,178,35,0,0,10,0,1,3,5,0,0,0,0,0,2,32,7,4,4,0,2,4,94,-50000
179,179,31,37,2,1,0,1,3,5,1,5,0,0,150,2,32,7,6,4,0,2,51,95, 50000+.
180,180,68,33,16,16,0,4,3,5,0,0,25124,0,4000,3,1,4,2,4,0,2,26,94, 50000+.
181,181,29,30,17,1,0,0,3,5,0,5,0,0,0,3,1,4,4,4,0,2,52,95,-50000
182,182,83,0,0,7,0,6,3,5,0,0,0,0,0,5,1,4,0,4,0,2,0,94,-50000
183,183,46,33,35,10,0,1,3,5,0,0,0,0,0,2,32,7,1,4,0,2,52,94,-50000
184,184,70,0,0,2,0,1,3,5,1,4,0,0,0,4,3,4,0,4,0,2,0,95,-50000
185,185,65,39,3,10,506,1,3,5,0,5,0,0,0,0,32,7,6,4,0,2,14,95,-50000
186,186,49,12,37,10,358,1,3,7,0,0,0,0,0,2,32,7,4,1,0,2,52,94,-50000
187,187,38,41,8,1,0,5,3,5,0,5,0,0,0,1,3,4,6,4,0,2,52,95, 50000+.
188,188,21,33,19,7,0,0,3,5,0,4,0,0,0,3,5,5,6,4,0,2,52,95,-50000
189,189,50,43,31,10,103,1,1,5,0,0,0,0,0,2,32,7,1,4,0,2,35,94,-50000
190,190,69,0,0,1,0,1,3,5,0,4,0,0,0,0,32,7,0,4,0,2,0,95, 50000+.
191,191,39,42,26,7,0,5,3,5,0,0,0,0,0,1,3,4,4,4,0,2,44,94,-50000
192,192,38,33,19,7,0,1,3,5,0,0,0,0,0,2,32,7,0,4,0,2,0,94,-50000
193,193,42,32,38,7,0,1,3,5,1,5,7298,0,0,2,3,4,4,4,0,2,52,95, 50000+.
194,194,76,40,32,8,0,4,3,0,0,0,991,0,0,3,3,4,2,4,0,2,52,94,-50000
195,195,46,12,35,10,0,1,3,5,0,0,0,0,0,2,32,7,6,4,0,2,52,94,-50000
196,196,33,5,36,10,0,0,3,5,1,5,0,2444,0,3,16,3,2,4,1,2,32,95, 50000+.
197,197,46,33,19,12,0,1,3,5,0,5,0,0,0,2,32,7,6,4,2,2,52,95,-50000
198,198,35,16,36,10,0,1,3,5,1,0,0,0,0,2,3,4,5,4,0,2,52,94,-50000
199,199,40,39,2,7,0,1,3,5,1,5,0,0,0,2,3,4,1,4,0,2,50,95, 50000+.
200,200,14,0,0,3,0,0,4,5,1,0,0,0,0,5,22,0,0,4,0,0,0,95,-50000
201,201,20,0,0,7,0,0,3,5,0,0,0,0,0,3,14,6,2,0,2,2,52,94,-50000
202,202,42,30,2,12,0,0,3,5,1,5,0,0,0,3,1,4,1,4,0,2,36,95,-50000
203,203,50,27,42,10,209,3,3,5,1,5,0,0,0,3,1,4,3,4,0,2,52,95,-50000
204,204,29,0,0,2,0,0,3,7,1,4,0,0,0,5,3,4,0,2,0,2,0,95,-50000
205,205,17,40,19,2,0,0,1,5,0,0,0,0,0,3,22,0,6,4,0,2,20,94,-50000
206,206,10,0,0,3,0,0,3,5,1,0,0,0,0,5,22,0,0,4,0,0,0,95,-50000
207,207,69,0,0,7,0,1,3,5,0,4,0,0,0,5,3,4,0,4,0,2,0,95,-50000
208,208,17,0,0,2,0,0,3,3,0,0,0,0,0,5,22,0,0,1,0,2,0,94,-50000
209,209,26,24,35,10,0,1,3,5,1,0,0,0,0,2,32,7,4,4,0,2,52,94,-50000
210,210,74,0,0,7,0,1,3,5,0,4,0,0,0,0,32,7,0,4,0,2,0,95,-50000
211,211,58,29,33,7,0,1,3,5,1,5,0,0,3000,2,3,4,4,4,0,2,52,95, 50000+.
212,212,42,0,0,12,0,1,3,3,0,4,0,0,0,2,32,7,0,3,0,2,0,95,-50000
213,213,33,40,34,16,0,5,3,5,1,5,0,0,0,3,1,4,4,4,0,2,52,95,-50000
214,214,34,9,23,10,0,1,3,0,0,0,0,0,0,2,32,7,4,4,0,2,52,94,-50000
215,215,24,47,28,7,0,1,1,5,1,5,0,0,0,2,3,4,6,4,0,2,52,95,-50000
216,216,65,0,0,14,0,0,3,5,1,0,0,0,0,3,1,4,0,4,0,2,0,94,-50000
217,217,32,22,5,1,0,1,3,5,1,0,0,0,0,2,3,4,6,4,0,2,52,94,-50000
218,218,31,33,29,7,0,1,3,5,0,0,0,0,0,2,32,7,1,4,2,2,52,94,-50000
219,219,61,0,0,4,0,1,3,5,1,0,99999,0,2500,2,3,4,4,3,0,2,8,94, 50000+.
220,220,53,4,34,10,312,1,3,5,1,0,0,0,0,2,3,4,2,4,0,2,50,94, 50000+.
221,221,31,0,0,2,0,1,0,1,0,4,0,0,0,2,32,7,0,1,0,2,0,95,-50000
222,222,37,34,2,1,0,1,0,7,1,0,7298,0,0,2,3,4,2,2,0,2,52,94, 50000+.
223,223,75,0,0,9,0,1,1,5,1,4,0,0,0,0,32,7,0,4,0,2,0,95,-50000
224,224,37,32,18,10,0,1,3,5,1,0,0,0,0,2,3,4,1,4,0,2,52,94,-50000
225,225,28,38,33,10,488,0,3,5,1,0,0,0,0,3,14,6,1,4,0,2,52,94,-50000
226,226,74,0,0,10,0,4,3,5,0,4,1086,0,53,3,3,4,0,4,0,2,0,95,-50000
227,227,32,24,35,7,0,0,3,5,0,5,2174,0,0,3,1,4,6,4,0,2,52,95,-50000
228,228,44,42,13,12,0,1,3,5,0,0,0,0,0,2,32,7,1,4,0,2,52,94,-50000
229,229,44,42,30,7,0,0,3,5,0,5,0,0,0,3,3,4,1,4,0,2,52,95,-50000
230,230,77,0,0,11,0,4,3,5,0,4,0,0,0,3,1,4,0,4,0,2,0,95, 50000+.
231,231,39,36,27,6,0,1,1,5,0,5,0,0,0,2,32,7,1,4,0,2,20,95,-50000
232,232,31,24,36,7,0,1,3,7,1,5,0,0,0,2,3,4,4,4,0,2,52,95,-50000
233,233,43,5,2,0,0,3,3,5,1,0,0,0,0,3,1,4,6,4,0,2,52,94,-50000
234,234,35,42,8,1,695,1,3,5,0,2,0,0,0,2,32,7,4,4,0,2,52,95,-50000
235,235,32,0,0,10,0,6,3,5,0,0,0,0,0,5,3,4,0,3,0,2,0,94,-50000
236,236,27,47,28,10,0,0,1,5,1,5,0,0,0,3,14,6,6,4,0,2,52,95,-50000
237,237,45,32,18,7,0,1,1,5,1,0,15024,0,0,2,3,4,6,4,2,2,52,94, 50000+.
238,238,26,0,0,1,0,1,3,5,0,4,0,1902,0,2,3,4,0,4,0,2,0,95,-50000
239,239,30,15,28,7,0,0,3,5,1,0,0,0,0,3,14,6,6,4,0,2,52,94,-50000
240,240,28,4,34,10,0,1,3,5,1,0,0,0,0,2,3,4,1,1,2,2,46,94,-50000
241,241,25,0,0,7,0,0,4,5,0,4,0,0,0,5,14,6,0,1,0,2,0,95,-50000
242,242,51,6,2,0,0,1,3,5,1,0,0,0,0,2,3,4,6,4,0,2,52,94, 50000+.
243,243,60,42,7,4,0,1,3,5,1,5,99999,0,3000,2,3,4,2,4,0,2,52,95, 50000+.
244,244,4,0,0,3,0,0,3,0,0,0,0,0,0,5,22,0,0,4,0,0,0,95,-50000
245,245,22,33,19,10,88,0,3,5,0,5,0,0,0,3,16,3,6,4,2,2,48,95,-50000
246,246,40,41,36,10,0,1,1,5,0,5,0,0,0,2,3,4,3,4,0,2,52,95,-50000
247,247,40,0,0,14,0,0,1,5,0,0,0,0,0,5,3,4,0,4,0,2,0,94,-50000
248,248,19,0,0,7,0,0,3,5,0,0,0,0,0,3,14,6,4,4,0,2,10,94,-50000
249,249,26,22,2,1,0,1,3,5,0,5,0,0,0,2,3,4,1,1,0,2,52,95,-50000
250,250,23,29,26,7,0,5,3,5,0,5,0,0,0,1,3,4,1,4,0,2,12,95,-50000
251,251,82,0,0,9,0,4,3,5,0,4,0,0,0,3,1,4,0,4,0,2,0,95,-50000
252,252,54,43,12,0,0,1,3,5,0,5,0,0,50000,2,32,7,6,4,0,2,52,95, 50000+.
253,253,19,33,29,7,0,0,3,5,0,5,0,0,0,3,14,6,1,4,2,2,52,95,-50000
254,254,53,0,0,15,0,5,3,5,0,0,0,0,0,5,1,4,0,4,0,2,0,94,-50000
255,255,64,33,19,2,0,1,3,5,1,0,0,0,0,2,3,4,2,4,0,2,52,94,-50000
256,256,41,30,33,10,0,5,3,5,0,0,0,0,0,1,6,3,6,4,0,2,52,94,-50000
257,257,19,0,0,10,0,1,3,5,0,4,0,0,0,2,8,5,5,4,2,2,11,95,-50000
258,258,65,0,0,9,0,6,3,5,1,0,0,0,0,5,1,4,0,4,0,1,0,94,-50000
259,259,38,24,2,1,0,1,3,5,0,0,0,0,400,2,32,7,6,4,2,2,20,94,-50000
260,260,47,50,24,10,0,1,3,5,0,0,0,0,2000,2,32,7,6,4,0,2,52,94,-50000
